"Municipio","ibge","latitude","longitude","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1974 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1975 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1976 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1977 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1978 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1979 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1980 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1981 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1982 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1983 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1984 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1985 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1986 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1987 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1988 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1989 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1990 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1991 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1992 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1993 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1994 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1995 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1996 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1997 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1998 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1999 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2000 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2001 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2002 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2003 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2004 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2005 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2006 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2007 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2008 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2009 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2010 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2011 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2012 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2013 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2014 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2015 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2016 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2017 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2018 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2019 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2020 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2021 (R$ mil)"
"Ivor�","4310751","-29.523199999990","-53.584200000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","28","407","801","9.900","296","9","28","21","52","94","83","56","51","81","107","119","74","68","79","154","148","166","117","203","244","221","350","316","316","267","326","409","612"
"Ivoti","4310801","-29.599499999990","-51.153300000000","20","116","221","365","405","114","1.071","2.882","4.550","1.500","3.430","21","44","71","486","11","343","1.027","16.940","18","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Jaboticaba","4310850","-27.634699999990","-53.276200000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","182","3.183","3.227","298.888","5.612","71","89","25","66","155","130","136","136","136","194","308","163","173","172","173","173","23","23","2","5","-","-","-","-","-","-","-","-"
"Jacuizinho","4310876","-29.021999999990","-53.053699999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","8","10","13","7","-","5","5","6","5","5","3","-","-","-","-","-","-","-","-","-","-"
"Jacutinga","4310900","-27.729099999990","-52.537199999990","638","2.016","1.779","2.422","2.016","-","9.240","3.366","4.063","20.719","46.284","148","154","357","1.290","80","2.373","0","111.894","1.287","10","17","4","5","11","9","9","8","5","10","3","3","1","1","2","-","1","-","-","-","-","-","-","-","-","-","-","-"
"Jaguar�o","4311007","-32.560400000000","-53.377000000000","58.969","81.858","93.630","126.092","179.442","265.260","565.488","1.103.900","3.064.320","5.455.170","18.295.200","68.250","166.880","317.765","2.263.975","23.421","617.120","7.758.080","79.456.666","1.062.811","23.405","21.578","25.796","23.326","34.422","32.175","28.745","31.473","27.780","55.310","61.337","47.645","35.831","55.607","92.445","82.088","82.154","65.299","83.899","99.517","121.076","130.812","140.048","133.768","121.610","112.000","167.702","293.920"
"Jaguari","4311106","-29.493600000000","-54.703000000000","1.204","3.323","4.982","5.182","9.765","12.409","33.350","76.950","291.500","258.325","1.386.000","4.851","12.107","43.255","227.658","3.853","153.028","882.989","7.451.136","235.991","1.739","1.972","2.434","2.398","3.138","3.380","3.200","3.841","5.193","6.190","8.415","4.596","6.647","6.817","8.407","8.191","7.599","7.338","6.993","10.107","11.356","12.866","13.059","14.075","14.600","13.005","17.347","30.164"
"Jaquirana","4311122","-28.881100000000","-50.363700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","4","160","270","3.850","104","3","3","0","1","0","1","1","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Jari","4311130","-29.292200000000","-54.223700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","42","67","21","18","14","12","35","18","5","15","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J�ia","4311155","-28.643500000000","-54.114100000000","...","...","...","...","...","...","...","...","...","38.658","99.940","575","1.617","3.192","23.077","179","11.695","4.019","150.920","6.495","34","12","58","28","33","36","16","40","39","37","35","-","2","7","11","11","11","9","10","-","-","-","-","-","-","-","2","3"
"J�lio de Castilhos","4311205","-29.229800000000","-53.677199999990","264","840","1.512","1.166","2.478","2.592","6.444","10.576","23.275","44.383","242.000","853","1.358","4.084","19.425","522","25.767","107.364","1.315.160","8.619","338","210","229","254","175","238","207","82","119","282","74","24","34","24","21","15","14","4","-","-","-","-","-","-","-","-","-","-"
"Lagoa Bonita do Sul","4311239","-29.488199999990","-53.013800000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","3","3","5","4","1","2","2","2","2","-","-","-","-","-","-","-","-","-","-","-","-"
"Lagoa dos Tr�s Cantos","4311270","-28.567599999990","-52.861800000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","311","3","6","3","1","1","2","2","2","3","7","6","-","3","3","1","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Lagoa Vermelha","4311304","-28.209299999990","-51.524799999990","129","342","648","1.156","294","112","3.933","7.231","13.514","62.980","168.800","673","934","2.520","26.179","157","6.080","7.766","471.039","7.920","56","59","30","104","104","86","20","12","6","8","9","9","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Lago�o","4311254","-29.234800000000","-52.799700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","11","840","840","8.029","2.006","17","26","11","17","23","30","25","36","45","76","17","-","24","27","35","35","18","15","9","5","-","-","-","-","-","-","-","-"
"Lajeado","4311403","-29.459099999990","-51.964399999990","115","180","323","240","527","748","1.200","7.850","8.400","28.875","132.000","699","882","2.698","21.469","144","3.724","7.696","178.710","1.377","46","62","27","2","2","2","2","0","0","2","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Lajeado do Bugre","4311429","-27.691299999990","-53.181800000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","2.532","34","22","9","5","11","12","13","12","13","18","27","16","26","25","24","24","3","3","-","-","-","-","-","-","-","-","-","-"
"Lavras do Sul","4311502","-30.807099999990","-53.893099999990","5.160","12.703","17.560","33.071","52.640","30.932","177.492","152.660","792.000","1.276.842","4.649.320","12.558","4.200","44.380","225.000","5.201","116.235","512.190","7.846.135","298.500","1.949","1.680","1.713","1.634","1.951","1.861","1.662","2.244","3.983","7.387","9.483","8.354","5.839","6.510","8.965","9.282","11.009","7.055","8.989","14.925","14.610","14.835","17.569","20.682","18.141","20.807","23.568","44.958"
"Liberato Salzano","4311601","-27.600999999990","-53.075299999990","153","360","513","591","300","31","792","1.728","1.353","5.422","13.176","40","129","60","353","20","329","312","16.279","557","7","10","8","10","17","9","9","9","9","13","20","15","26","25","24","24","5","-","-","-","-","-","-","-","-","-","-","-"
"Lindolfo Collor","4311627","-29.585899999990","-51.214100000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","408","5","5","4","2","2","4","3","3","4","8","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Linha Nova","4311643","-29.467900000000","-51.200299999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","402","4","3","4","2","2","4","3","3","4","7","6","1","4","5","6","5","4","3","3","4","4","4","4","5","5","6","3","4"
"Ma�ambar�","4311718","-29.144500000000","-56.067399999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","31.510","19.800","30.636","22.417","30.854","52.934","57.879","82.172","42.962","50.516","34.523","81.859","78.248","62.653","58.015","52.794","73.987","75.712","85.167","80.970","96.438","83.298","104.864","157.629","268.168"
"Machadinho","4311700","-27.566700000000","-51.666800000000","177","581","870","1.760","470","208","6.941","5.184","8.750","38.551","72.000","278","725","953","11.817","71","3.685","1.574","285.478","3.600","33","35","15","48","24","6","6","6","7","2","3","-","-","-","-","-","-","-","-","-","-","-","-","28","35","30","45","45"
"Mampituba","4311734","-29.213600000000","-49.931100000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","400","1.073","1.678","1.636","1.866","2.460","5.122","3.826","2.104","1.998","623","5.520","4.515","4.683","3.932","4.284","3.996","4.914","4.779","5.589","5.400","4.892","5.141","6.417","11.872"
"Manoel Viana","4311759","-29.585899999990","-55.484099999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","289.920","1.997","3.824","3.949","4.057","4.030","4.797","3.605","7.952","9.942","12.360","9.306","8.753","9.651","8.751","11.729","12.023","10.821","11.895","11.383","13.685","13.456","16.487","6.355","18.058","15.805","4.919","19.436","40.260"
"Maquin�","4311775","-29.679800000000","-50.207900000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","900","4","8","3","3","5","9","7","9","11","20","1.319","924","793","484","1.063","1.134","1.620","1.077","1.341","1.523","1.724","1.724","1.925","1.911","1.778","1.902","2.503","4.105"
"Marat�","4311791","-29.545700000000","-51.557299999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","221","2","2","3","5","6","7","7","6","9","12","16","8","9","11","12","18","14","18","18","15","16","16","-","-","-","-","-","-"
"Marau","4311809","-28.449800000000","-52.198599999990","390","1.237","888","3.240","2.250","1.460","12.550","11.925","19.787","88.813","320.884","935","1.731","2.483","14.896","279","5.415","9.728","325.485","7.737","49","65","51","74","93","72","84","63","100","145","70","-","46","37","64","19","2","2","-","-","-","-","-","-","-","-","-","-"
"Marcelino Ramos","4311908","-27.467600000000","-51.909500000000","67","240","600","600","-","62","290","1.440","1.500","7.060","7.872","43","83","143","865","22","925","0","58.768","1.641","8","13","15","15","8","8","8","9","7","11","5","-","18","26","20","6","6","14","4","-","-","-","-","-","-","-","-","-"
"Mariana Pimentel","4311981","-30.353100000000","-51.580300000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","58.052","497","682","455","714","816","685","614","789","1.000","1.666","1.476","855","1.073","1.275","2.414","2.237","2.699","1.901","2.706","3.523","3.665","4.102","4.961","4.722","4.432","3.208","5.213","10.776"
"Mariano Moro","4312005","-27.356800000000","-52.146700000000","108","124","456","450","-","62","631","907","1.125","3.552","3.960","21","86","71","588","11","493","0","30.089","840","6","10","10","7","11","11","11","6","1","10","3","4","7","4","5","1","4","5","1","-","-","-","-","-","-","-","-","-"
"Marques de Souza","4312054","-29.331099999990","-52.097299999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","7","8","9","9","8","9","29","10","-","6","6","8","7","3","4","2","2","-","-","-","-","-","-","-","-"
"Mata","4312104","-29.564900000000","-54.464100000000","2.951","5.238","6.308","5.862","10.783","16.050","32.189","72.576","210.528","252.700","1.461.934","5.346","7.269","22.913","102.382","1.648","70.448","460.251","3.552.255","94.715","870","1.331","1.792","1.679","2.280","2.101","2.011","2.822","3.563","5.207","5.053","3.251","3.721","3.658","4.658","6.159","6.281","5.106","4.886","5.563","6.270","6.371","7.373","10.367","6.916","4.680","7.287","15.750"
"Mato Castelhano","4312138","-28.280000000000","-52.193199999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1.980","18","22","14","30","38","31","12","16","18","32","37","12","16","11","20","16","16","12","8","10","11","14","20","20","20","19","20","24"
"Mato Leit�o","4312153","-29.528500000000","-52.127800000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","549","14","14","-","13","7","9","7","-","-","3","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Mato Queimado","4312179","-28.247500000000","-54.619199999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","-","2","3","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Maximiliano de Almeida","4312203","-27.632500000000","-51.802100000000","163","87","285","431","141","78","1.893","1.987","1.800","9.804","23.100","161","145","381","4.228","36","1.768","0","113.400","2.510","24","32","9","14","5","6","6","6","7","7","8","-","4","2","2","3","2","3","3","3","10","-","-","-","-","-","-","-"
"Minas do Le�o","4312252","-30.134599999990","-52.042299999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","110.628","1.712","1.573","1.890","2.076","2.453","3.032","4.134","3.991","6.803","9.072","13.024","7.326","7.040","8.826","17.003","19.200","12.843","10.809","11.225","13.635","11.525","15.082","8.277","12.344","10.944","10.141","12.555","19.298"
"Miragua�","4312302","-27.497000000000","-53.689100000000","180","459","486","578","439","98","3.321","10.692","8.118","9.000","50.490","123","161","677","2.523","50","1.274","3.222","101.640","1.156","21","8","5","9","10","10","11","7","3","6","9","10","13","13","12","12","5","-","-","-","-","-","-","-","-","-","-","-"
"Montauri","4312351","-28.646200000000","-52.076700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","10","516","0","20.405","304","3","6","4","4","2","2","-","-","-","-","-","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Monte Alegre dos Campos","4312377","-28.680499999990","-50.783400000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","0","0","1","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Monte Belo do Sul","4312385","-29.160699999990","-51.633299999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","170","1","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Montenegro","4312401","-29.682400000000","-51.467900000000","286","1.116","1.071","2.625","1.300","3.642","4.933","17.140","45.696","81.480","529.632","2.034","3.129","3.760","36.240","207","16.519","140.300","1.074.825","28.575","284","271","242","317","546","367","340","313","448","598","817","438","689","892","983","1.457","1.558","1.320","1.332","1.132","1.226","1.226","1.301","1.894","2.333","1.812","1.823","3.042"
"Morma�o","4312427","-28.696800000000","-52.699900000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1.450","16","48","11","14","17","15","14","19","26","20","15","-","2","1","2","2","3","-","-","-","-","-","-","-","-","-","-","-"
"Morrinhos do Sul","4312443","-29.357800000000","-49.932800000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","13.085","416","461","854","855","834","889","1.011","1.294","2.264","5.181","3.387","4.253","3.555","3.275","5.003","4.884","5.321","4.524","5.072","6.231","6.762","7.210","7.973","7.978","6.360","7.229","9.147","16.669"
"Morro Redondo","4312450","-31.588699999990","-52.626100000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","5","243","2.025","15.660","223","6","3","-","-","-","-","30","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Morro Reuter","4312476","-29.537900000000","-51.081099999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1.774","10","12","8","11","8","15","12","13","1","2","3","-","1","2","2","2","2","2","2","3","3","3","3","3","3","4","4","4"
"Mostardas","4312500","-31.105399999990","-50.916699999990","34.840","75.578","83.383","71.136","71.443","254.208","342.000","966.096","2.152.555","6.690.600","21.117.740","75.955","212.750","455.124","3.782.250","25.982","1.531.066","14.166.900","100.054.332","3.148.542","28.116","29.006","29.452","28.233","44.177","48.065","38.623","55.142","69.741","104.563","120.048","85.612","78.431","90.485","148.824","138.681","121.324","86.610","147.493","170.053","203.904","133.938","173.548","211.737","198.765","213.285","258.077","438.386"
"Mu�um","4312609","-29.163000000000","-51.871400000000","100","199","304","238","490","72","562","2.167","1.972","5.938","24.200","114","118","425","3.075","31","594","0","35.683","457","10","11","13","3","4","1","1","1","1","3","1","-","1","1","1","1","-","-","-","-","-","-","-","-","-","-","-","-"
"Muitos Cap�es","4312617","-28.313199999990","-51.183599999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","11","11","12","10","13","9","12","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Muliterno","4312625","-28.325299999990","-51.769700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","906","10","11","4","3","0","5","5","7","15","23","26","-","7","7","7","6","3","2","-","-","-","-","-","-","-","-","-","-"
"N�o-Me-Toque","4312658","-28.454799999990","-52.818199999990","375","756","960","856","280","240","945","4.081","8.118","12.870","22.050","116","98","475","740","73","2.091","118","51.033","488","5","10","12","9","10","12","13","17","5","6","8","4","7","7","8","5","-","-","-","-","-","-","-","-","-","-","-","-"
"Nicolau Vergueiro","4312674","-28.529800000000","-52.467599999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1.912","13","15","1","3","19","11","13","17","19","30","14","-","7","8","8","5","2","-","-","-","-","-","-","-","-","-","-","-"
"Nonoai","4312708","-27.368900000000","-52.775599999990","122","1.715","1.620","1.766","650","868","8.100","18.000","49.000","81.510","240.000","1.239","1.872","1.642","15.273","248","18.100","0","124.000","613","3","3","31","31","2","17","21","17","8","27","17","-","32","34","22","12","8","11","2","3","3","2","-","-","-","-","-","-"
"Nova Alvorada","4312757","-28.682200000000","-52.163100000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","25","1.417","1.181","58.905","775","8","18","11","9","4","7","4","5","3","6","6","1","4","5","6","-","-","-","-","-","-","-","-","1","4","2","-","-"
"Nova Ara��","4312807","-28.653700000000","-51.745800000000","23","38","60","50","59","59","528","2.112","748","2.318","6.336","23","68","125","1.118","12","370","320","21.736","669","9","9","1","3","2","2","1","1","1","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nova Bassano","4312906","-28.729099999990","-51.707200000000","189","285","450","365","315","311","2.768","4.640","3.332","11.770","31.680","116","297","517","3.784","70","1.459","1.600","85.800","1.783","23","24","10","4","5","4","5","4","2","25","33","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nova Boa Vista","4312955","-27.992599999990","-52.978400000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","400","4","8","3","8","6","2","2","3","3","4","5","2","5","5","6","3","3","-","-","-","-","-","-","-","-","2","3","5"
"Nova Br�scia","4313003","-29.218200000000","-52.031900000000","57","262","114","109","168","78","375","3.437","3.240","8.125","31.360","108","166","454","3.798","82","1.441","-","62.370","693","31","21","15","8","10","5","5","3","3","16","9","5","6","6","5","5","3","2","1","1","2","-","-","-","-","-","-","-"
"Nova Candel�ria","4313011","-27.613700000000","-54.107399999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1","1","1","1","1","1","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nova Esperan�a do Sul","4313037","-29.406600000000","-54.829300000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","152","7.863","49.286","1.199.055","17.723","261","253","262","291","482","481","457","617","786","1.139","1.629","1.154","864","985","994","1.017","701","917","849","1.001","1.173","1.039","1.142","1.260","1.120","1.126","1.310","2.362"
"Nova Hartz","4313060","-29.580700000000","-50.905099999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","75","1.198","4.381","51.386","252","1","2","2","1","1","3","3","3","5","3","10","7","2","3","3","3","3","2","3","4","4","-","-","-","1","1","1","-"
"Nova P�dua","4313086","-29.027500000000","-51.309800000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","97","2","2","-","3","3","4","3","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nova Palma","4313102","-29.471000000000","-53.468899999990","285","420","1.512","1.361","2.436","2.275","7.560","2.078","2.472","5.993","13.990","76","-","400","7.183","44","459","6.570","204.849","3.813","106","113","154","172","219","240","211","274","380","774","808","170","372","455","625","603","265","363","619","691","695","735","826","844","713","893","1.287","2.315"
"Nova Petr�polis","4313201","-29.374099999990","-51.113500000000","78","312","540","228","312","499","826","9.248","13.720","19.927","57.000","293","431","747","2.430","64","4.500","4.200","6.930","92","2","2","3","3","2","2","2","2","2","4","4","2","1","1","1","1","1","2","1","-","-","-","-","-","-","-","-","-"
"Nova Prata","4313300","-28.779900000000","-51.611300000000","491","750","1.147","1.142","1.173","1.134","10.080","20.544","12.852","44.942","120.960","441","1.134","1.880","20.640","9","2.188","960","68.640","1.783","11","12","5","3","2","1","1","1","1","-","-","-","-","-","-","-","-","-","2","1","-","-","-","-","-","-","-","-"
"Nova Ramada","4313334","-28.066700000000","-53.699199999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","31","39","36","19","30","31","54","38","14","14","12","19","17","11","2","-","-","-","-","-","-","-","-","-","-"
"Nova Roma do Sul","4313359","-28.988199999990","-51.409500000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","13","720","1.267","23.100","343","9","7","0","9","9","11","3","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nova Santa Rita","4313375","-29.852499999990","-51.283700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","173.474","2.517","2.517","2.521","2.526","2.695","2.693","2.472","1.978","1.984","1.984","1.984","2.093","2.333","4.876","8.970","11.830","10.140","6.785","15.834","15.834","19.110","19.110","17.745","21.294","22.673","23.908","31.218","48.066"
"Novo Barreiro","4313490","-27.907699999990","-53.110300000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","3.291","44","39","13","31","76","24","25","23","25","36","54","29","39","38","36","36","10","10","3","-","-","-","-","-","-","-","-","-"
"Novo Cabrais","4313391","-29.733799999990","-52.948900000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1.706","2.259","2.489","2.060","2.366","2.643","4.703","6.155","2.509","4.637","5.308","7.286","8.357","7.221","5.810","6.066","9.161","8.428","9.680","9.419","8.631","8.316","8.894","7.484","21.963"
"Novo Hamburgo","4313409","-29.687600000000","-51.132800000000","32","69","25","66","77","76","360","214","1.470","2.448","11.780","104","28","104","784","1","29","7.281","67.760","4.027","-","-","2","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Novo Machado","4313425","-27.576499999990","-54.503599999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","389","4","4","4","2","7","7","6","8","11","17","15","1","2","2","2","-","-","3","3","3","7","7","8","-","6","8","-","-"
"Novo Tiradentes","4313441","-27.564900000000","-53.183700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","495","5","7","4","5","20","21","22","20","22","31","47","22","26","25","24","24","-","-","-","-","-","-","-","-","-","-","-","-"
"Novo Xingu","4313466","-27.743099999990","-53.061599999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","5","2","3","3","1","3","3","3","3","3","-","-","-","-","-","-","-","-","-","-","-"
"Os�rio","4313508","-29.888100000000","-50.266700000000","39.807","57.740","67.447","93.625","131.989","129.037","497.200","1.226.699","2.542.883","1.704.013","4.811.611","19.380","50.140","135.191","1.081.048","9.741","151.219","1.698.479","11.214.860","313.867","2.519","2.369","2.882","3.321","3.768","4.234","3.381","2.224","6.726","11.870","15.345","11.830","9.921","11.038","10.656","10.080","8.646","10.290","14.921","16.515","18.360","19.760","18.081","21.736","19.240","21.792","26.914","50.151"
"Paim Filho","4313607","-27.707500000000","-51.762999999990","69","249","337","760","119","114","3.155","1.786","3.000","62.521","79.200","233","305","1.001","6.992","29","1.414","0","106.250","2.510","24","32","12","35","40","22","23","24","25","28","30","-","15","9","10","4","4","4","5","5","6","-","-","-","-","-","-","-"
"Palmares do Sul","4313656","-30.253499999990","-50.510300000000","...","...","...","...","...","...","...","...","...","4.965.460","22.239.992","93.430","222.161","525.000","3.979.792","24.413","1.539.184","11.194.420","92.607.471","2.324.822","20.075","21.828","26.415","12.619","19.706","27.933","20.336","24.306","34.357","50.718","63.218","51.660","46.358","46.998","78.411","73.021","70.547","58.904","91.949","107.220","108.531","106.651","94.500","93.503","95.154","90.172","98.928","174.064"
