"Municipio","ibge","latitude","longitude","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1974 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1975 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1976 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1977 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1978 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1979 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1980 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1981 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1982 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1983 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1984 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1985 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1986 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1987 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1988 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1989 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1990 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1991 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1992 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1993 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1994 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1995 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1996 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1997 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1998 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1999 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2000 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2001 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2002 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2003 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2004 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2005 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2006 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2007 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2008 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2009 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2010 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2011 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2012 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2013 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2014 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2015 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2016 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2017 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2018 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2019 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2020 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2021 (kg/ha)"
"Santo �ngelo","4317509","-28.300100000000","-54.266800000000","1.000","1.833","3.000","2.500","1.300","870","1.950","1.515","1.138","1.087","1.275","1.227","1.317","1.524","667","1.778","1.778","4.000","1.794","2.083","3.250","3.400","2.520","3.400","3.400","2.540","2.404","2.930","2.930","2.404","3.400","5.000","2.714","1.800","1.800","1.800","-","-","-","-","-","-","-","-","-","-","-","-"
"Santo Ant�nio da Patrulha","4317608","-29.826799999990","-50.517499999990","3.899","3.879","3.987","4.000","3.841","3.929","3.800","4.795","4.700","3.638","4.587","4.986","4.986","4.922","4.930","4.904","4.418","4.881","4.901","4.917","4.917","4.750","4.651","5.000","5.000","5.000","5.000","4.750","5.300","5.300","5.702","6.496","6.496","6.550","6.800","6.910","6.586","7.000","7.609","7.820","7.600","6.800","7.450","7.450","7.620","7.620","7.200","7.500"
"Santo Ant�nio das Miss�es","4317707","-28.513999999990","-55.225099999990","3.833","4.142","3.569","2.000","2.000","3.221","3.364","3.462","3.449","3.306","3.453","3.046","2.600","4.498","4.495","5.496","4.997","2.998","4.990","4.992","3.745","4.995","4.000","4.500","3.500","5.300","5.000","5.300","5.300","3.850","6.160","7.100","6.490","7.135","7.430","7.625","7.050","8.432","8.220","7.500","8.400","8.050","7.580","8.000","7.800","7.800","8.014","8.900"
"Santo Ant�nio do Palma","4317558","-28.495600000000","-52.026699999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.486","2.486","2.486","929","1.520","1.520","1.500","1.600","2.000","2.000","2.000","1.400","600","2.000","2.000","2.000","2.000","2.000","2.000","500","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","-"
"Santo Ant�nio do Planalto","4317756","-28.403099999990","-52.699199999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.076","2.100","2.100","1.625","1.700","1.700","1.700","1.667","1.800","1.800","1.800","1.833","800","1.800","1.800","1.800","1.500","-","-","-","-","-","-","-","-","-","-","-","-"
"Santo Augusto","4317806","-27.852599999990","-53.777600000000","2.611","3.000","3.000","3.000","-","1.500","2.000","1.231","1.620","1.605","2.233","2.100","2.100","1.633","1.833","2.200","2.000","1.250","2.281","2.348","2.646","2.365","2.500","2.585","3.208","2.810","3.145","4.025","3.100","4.200","4.200","3.900","3.500","4.333","4.714","4.071","4.714","6.200","900","-","3.000","3.000","-","-","-","-","-","-"
"Santo Cristo","4317905","-27.826300000000","-54.661999999990","1.200","2.500","2.400","2.000","1.000","600","600","600","412","600","1.551","600","600","2.000","1.800","2.100","1.200","1.000","1.000","1.000","1.000","1.000","1.545","1.200","1.200","1.200","1.200","1.200","1.200","1.200","67","-","3.000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Santo Expedito do Sul","4317954","-27.907399999990","-51.643300000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.300","1.300","1.300","970","1.000","1.000","1.000","1.000","1.000","1.000","1.800","1.800","2.000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S�o Borja","4318002","-28.657800000000","-56.003599999990","4.086","4.078","3.947","3.730","4.516","3.482","4.000","4.000","4.300","3.905","4.500","4.500","3.500","4.500","5.000","5.000","5.000","4.500","5.200","5.000","3.319","5.000","4.500","5.000","4.250","5.580","5.525","6.012","5.700","5.000","6.265","6.890","7.080","7.205","7.320","7.450","6.980","8.100","7.500","7.560","7.759","7.500","6.940","8.000","8.663","7.521","8.325","8.000"
"S�o Domingos do Sul","4318051","-28.531199999990","-51.886000000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.500","-","1.533","1.533","1.500","2.300","1.500","1.500","1.500","1.500","1.600","1.800","1.800","1.750","1.750","-","2.000","2.000","2.000","2.000","2.500","2.500","-","-","-","-","-","-","-","-","-","-"
"S�o Francisco de Assis","4318101","-29.554700000000","-55.125300000000","2.992","3.384","3.369","3.500","3.000","2.451","3.000","3.000","4.000","3.200","3.600","3.600","4.000","3.985","4.376","4.466","3.777","3.574","5.000","4.966","3.976","4.970","4.537","5.000","3.600","5.000","4.000","5.000","5.000","3.250","5.200","5.500","7.000","6.000","6.500","6.600","4.700","7.500","7.250","6.956","7.500","7.000","4.590","7.710","7.830","6.920","7.950","8.340"
"S�o Francisco de Paula","4318200","-29.440400000000","-50.582799999990","1.000","1.120","1.800","1.500","1.504","1.200","1.503","1.100","900","900","1.000","1.000","891","709","527","538","538","692","692","795","795","795","1.875","800","800","750","750","875","1.000","1.200","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S�o Gabriel","4318309","-30.333700000000","-54.321700000000","3.673","4.082","3.607","4.340","4.432","3.131","3.667","3.900","4.500","2.869","4.500","4.700","3.750","4.100","5.100","5.200","4.500","4.000","6.000","5.200","4.000","5.000","5.200","4.750","2.750","6.000","5.200","5.500","5.976","4.718","6.000","6.800","7.150","7.300","7.200","7.140","6.400","7.542","7.635","7.842","7.500","7.900","7.100","8.200","8.100","7.579","8.730","9.400"
"S�o Jer�nimo","4318408","-29.971599999990","-51.725099999990","3.000","3.079","2.863","3.160","3.000","2.715","2.700","3.700","3.500","3.612","4.000","3.435","4.241","3.701","4.310","3.412","3.440","4.922","3.538","4.500","4.750","4.500","4.500","4.500","4.500","4.500","4.541","4.651","4.651","4.900","5.000","4.235","5.500","6.000","6.200","5.900","4.800","6.200","6.400","6.500","5.800","6.500","6.602","7.550","7.000","6.050","6.050","8.000"
"S�o Jo�o da Urtiga","4318424","-27.819500000000","-51.825699999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.500","1.500","125","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.500","-","1.000","1.000","1.000","1.000","1.000","1.000","-","-","-","-","-","-","-","-","-","-"
"S�o Jo�o do Pol�sine","4318432","-29.619399999990","-53.443899999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","6.000","5.500","6.000","6.200","5.500","5.500","7.000","6.500","5.000","6.194","5.951","5.951","6.900","7.500","6.900","7.500","7.880","6.000","7.500","6.800","8.100","8.100","7.750","6.550","8.000","7.800","7.800","7.800","8.000"
"S�o Jorge","4318440","-28.498400000000","-51.706400000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.000","2.000","600","2.000","2.000","2.000","2.000","1.200","1.200","1.200","1.200","1.200","1.200","1.200","1.200","1.200","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S�o Jos� das Miss�es","4318457","-27.778900000000","-53.122599999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.000","2.000","2.000","1.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","1.600","2.000","2.000","2.000","2.000","3.000","-","-","-","-","-","-","-","-","-","-","-"
"S�o Jos� do Herval","4318465","-29.052000000000","-52.295000000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.100","2.100","214","2.100","2.000","2.000","2.000","933","1.500","2.133","2.133","1.900","2.000","2.100","2.143","1.571","-","1.500","1.833","1.750","1.667","-","-","-","-","-","-","-","-","-","-","-","-"
"S�o Jos� do Hort�ncio","4318481","-29.527999999990","-51.245000000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.065","1.581","1.000","1.290","1.000","1.000","1.000","667","1.000","1.000","1.000","1.000","1.000","1.000","1.500","1.250","250","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.500","2.000","2.000","2.000"
"S�o Jos� do Inhacor�","4318499","-27.725100000000","-54.127499999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3.700","3.700","3.700","1.500","1.900","1.529","1.529","1.529","1.529","1.529","1.529","1.200","-","1.000","1.000","1.000","1.000","1.000","1.000","2.000","-","-","-","-","-","-","-","-","-"
"S�o Jos� do Norte","4318507","-32.015099999990","-52.033099999990","3.470","4.091","3.328","2.585","2.284","2.804","3.300","4.000","4.000","3.980","4.000","4.000","3.500","4.300","4.900","5.100","4.000","4.800","4.800","5.000","5.880","5.100","4.510","4.500","3.200","5.000","4.400","4.400","4.700","4.750","5.100","5.100","5.100","7.000","7.000","6.520","6.520","6.760","6.868","7.100","6.800","6.800","6.800","6.800","6.817","6.900","6.806","6.808"
"S�o Jos� do Ouro","4318606","-27.770700000000","-51.596600000000","900","2.444","2.000","1.000","500","100","1.201","938","800","1.500","1.800","1.800","902","1.200","1.698","1.800","1.800","180","1.300","1.300","1.500","1.500","1.020","2.000","2.000","1.800","1.800","1.933","1.933","2.000","2.000","400","1.800","1.800","1.800","1.800","2.000","2.000","1.500","-","-","-","-","-","-","-","-","-"
"S�o Jos� dos Ausentes","4318622","-28.747599999990","-50.067700000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.500","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S�o Leopoldo","4318705","-29.754500000000","-51.149799999990","3.000","1.000","3.000","-","-","-","-","-","-","-","6.000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S�o Louren�o do Sul","4318804","-31.356400000000","-51.971499999990","3.335","3.713","3.335","3.200","4.070","2.656","3.848","4.200","4.200","3.428","3.750","4.000","4.800","4.300","4.555","4.950","3.941","4.500","4.482","4.981","3.736","4.989","5.293","5.392","3.995","5.393","4.983","4.685","4.751","3.663","5.429","5.351","5.580","5.904","6.200","6.765","5.130","7.131","6.988","7.127","6.900","7.380","6.631","7.562","7.247","7.271","8.012","8.889"
"S�o Luiz Gonzaga","4318903","-28.411999999990","-54.955900000000","2.414","3.110","2.845","2.000","2.000","2.559","3.213","2.149","2.740","2.680","2.778","2.501","2.000","4.469","4.457","5.963","4.939","3.567","4.200","4.824","2.929","3.874","3.335","3.967","2.980","4.436","3.458","4.962","3.967","3.939","5.500","4.651","4.915","5.890","5.890","5.890","4.421","7.478","6.000","6.000","8.000","8.000","6.000","6.000","-","-","-","-"
"S�o Marcos","4319000","-28.967700000000","-51.069600000000","1.200","1.800","1.309","1.200","1.200","1.200","1.200","1.200","857","857","1.500","2.500","1.000","1.200","1.200","1.400","1.400","1.000","1.800","1.750","1.800","1.600","-","1.600","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S�o Martinho","4319109","-27.711200000000","-53.969900000000","1.800","2.057","1.800","1.000","810","100","1.800","1.800","700","1.000","1.800","1.314","914","1.514","714","1.813","1.800","800","2.533","3.200","3.200","3.200","2.200","3.067","3.067","3.067","3.067","3.067","4.000","4.000","4.000","3.000","4.000","4.000","4.000","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S�o Martinho da Serra","4319125","-29.539700000000","-53.859000000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5.200","4.419","5.152","3.200","6.600","6.000","7.000","6.700","7.500","6.500","7.500","3.654","6.750","7.260","7.500","6.753","7.500","6.000","7.650","8.000","5.917","7.511","8.000","7.000","9.000","8.000","7.044","9.000","10.000"
"S�o Miguel das Miss�es","4319158","-28.556000000000","-54.555900000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.606","1.750","4.000","2.500","2.717","2.286","2.286","4.000","4.000","4.000","4.700","5.049","4.905","4.450","4.450","4.833","4.756","4.833","5.000","4.650","6.000","-","-","-","-","-","-","-","-","-","-","-","-"
"S�o Nicolau","4319208","-28.183399999990","-55.265400000000","1.499","1.800","2.341","2.000","2.000","1.800","3.260","3.583","2.929","2.878","2.967","2.670","2.000","3.935","3.420","4.318","2.882","4.507","4.375","2.943","3.657","3.895","3.200","4.108","4.800","4.855","4.366","4.892","4.311","2.409","4.164","4.000","4.083","5.000","6.000","5.000","5.000","5.000","-","8.000","8.000","-","-","-","-","-","-","-"
"S�o Paulo das Miss�es","4319307","-28.019500000000","-54.940399999990","1.053","2.105","2.111","2.111","1.000","420","1.500","1.875","1.000","1.400","1.500","1.500","-","2.400","1.000","2.000","2.000","-","2.000","2.000","2.200","2.300","800","2.400","2.400","2.000","2.000","2.000","2.000","2.600","429","600","2.100","2.700","2.500","1.600","2.000","-","-","-","-","-","-","-","-","2.000","-","-"
"S�o Pedro da Serra","4319356","-29.419300000000","-51.513399999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.520","1.500","1.533","1.067","1.067","1.067","1.067","1.067","1.100","1.100","1.100","750","500","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","2.000","2.000","-","-","-","-","-","-"
"S�o Pedro das Miss�es","4319364","-27.773219999990","-53.250470000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3.000","3.000","3.000","3.000","2.000","2.000","2.000","2.000","2.000","1.600","2.000","2.000","2.000","-","-","-","-","-","-","-","-"
"S�o Pedro do Buti�","4319372","-28.124300000000","-54.892600000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.533","2.533","2.533","1.500","1.800","2.000","2.000","2.000","2.000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S�o Pedro do Sul","4319406","-29.620200000000","-54.185499999990","3.405","3.693","3.972","4.000","4.000","2.626","2.667","4.500","4.667","3.445","4.000","4.000","2.500","4.500","5.200","5.000","5.000","5.000","4.850","5.000","3.675","5.000","5.000","5.000","4.250","5.000","5.000","5.000","5.500","4.600","5.659","5.854","6.268","6.356","7.047","6.951","5.445","7.300","6.678","7.000","7.300","7.150","6.647","7.632","8.188","7.050","8.400","7.939"
"S�o Sebasti�o do Ca�","4319505","-29.588500000000","-51.374899999990","2.500","3.060","1.370","2.500","1.500","1.364","2.455","2.829","1.988","3.067","2.786","2.786","2.631","2.236","3.015","1.000","1.000","933","1.200","1.200","1.200","1.200","1.000","1.333","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S�o Sep�","4319604","-30.164300000000","-53.560299999990","3.499","3.891","3.585","3.800","3.984","3.151","3.600","4.108","4.300","2.900","4.000","4.500","3.010","4.300","5.000","5.500","4.500","5.500","5.100","6.000","4.362","5.500","5.360","4.400","3.150","5.500","5.300","5.250","5.500","4.600","6.300","6.231","6.250","6.500","6.681","7.100","5.674","7.350","7.000","7.200","7.000","7.280","6.300","7.500","7.370","6.850","7.600","8.000"
"S�o Valentim","4319703","-27.558299999990","-52.523699999990","1.100","2.496","2.400","2.800","300","-","1.500","1.071","723","1.100","1.100","660","800","600","960","1.500","1.500","300","1.500","1.500","1.500","1.500","1.301","1.500","1.467","1.050","1.400","1.800","600","2.133","933","-","933","1.800","1.800","800","1.750","1.750","1.000","2.000","-","-","-","-","-","-","-","-"
"S�o Valentim do Sul","4319711","-29.045100000000","-51.768400000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.400","1.800","1.800","1.467","1.000","1.500","1.500","1.500","1.500","1.533","1.500","1.300","200","1.500","1.600","1.400","1.400","1.400","1.500","1.500","1.000","1.500","1.500","1.500","1.500","1.500","2.000","-","-"
"S�o Val�rio do Sul","4319737","-27.790600000000","-53.936799999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.800","1.800","1.800","1.920","2.400","2.400","2.000","1.667","1.667","2.000","2.000","1.500","1.000","1.000","3.000","3.000","1.200","3.000","-","-","-","-","-","-","-","-","-","-","-"
"S�o Vendelino","4319752","-29.372900000000","-51.367500000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.250","1.250","-","1.333","1.333","1.333","1.333","1.375","1.400","1.400","1.400","1.400","1.400","1.400","2.000","1.000","1.000","1.333","1.333","1.333","2.000","3.000","3.000","3.000","3.000","3.000","3.000","-","-","-","-","-","-"
"S�o Vicente do Sul","4319802","-29.688199999990","-54.682600000000","3.400","3.814","3.558","3.400","3.426","3.052","4.040","4.200","4.900","4.140","4.750","4.686","4.548","4.660","4.832","5.661","5.436","4.631","5.453","5.704","4.484","5.081","5.050","5.476","4.668","5.958","5.035","4.937","5.329","3.920","5.163","6.227","6.352","6.364","6.400","6.500","4.225","7.740","7.400","7.360","7.370","7.650","6.410","7.860","8.420","7.040","8.450","8.710"
"Sapiranga","4319901","-29.634899999990","-51.006500000000","2.400","2.400","2.400","2.400","2.400","2.283","2.700","1.554","1.277","1.408","1.287","978","600","1.000","-","2.143","2.143","2.250","2.650","2.650","2.650","2.650","1.429","2.833","2.286","2.286","1.200","1.200","1.200","1.200","1.200","4.057","4.057","4.057","4.057","5.390","5.390","4.057","6.848","6.832","6.832","3.800","4.467","4.467","6.848","6.848","6.875","6.875"
"Sapucaia do Sul","4320008","-29.827600000000","-51.145000000000","-","4.000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sarandi","4320107","-27.942000000000","-52.923099999990","1.500","1.307","1.900","1.199","500","250","1.750","1.500","310","1.200","1.200","1.200","1.100","1.100","1.081","1.702","1.600","-","1.800","2.000","2.000","1.507","1.508","1.507","2.000","2.000","2.000","2.000","2.000","2.000","2.000","500","1.800","1.800","1.800","1.500","1.500","-","-","-","-","-","-","-","-","-","-","-"
"Seberi","4320206","-27.482900000000","-53.402600000000","1.000","2.000","2.000","2.000","-","-","2.000","1.200","575","800","1.200","1.000","800","1.600","650","2.104","1.984","5.000","2.649","3.035","2.676","2.481","3.309","2.481","2.209","4.773","4.773","4.773","4.773","4.773","3.722","4.152","4.152","4.152","3.933","3.806","3.806","4.355","5.500","4.056","3.000","3.000","3.000","3.000","3.000","3.000","3.000","3.000"
"Sede Nova","4320230","-27.636700000000","-53.949300000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.800","1.800","3.100","4.222","4.242","4.242","4.242","2.304","4.087","1.333","1.333","1.333","1.333","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Segredo","4320263","-29.352300000000","-52.976700000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.800","1.800","800","1.800","1.800","1.600","2.040","1.000","2.532","2.000","2.000","2.200","2.500","2.500","2.500","1.800","-","2.000","2.000","2.000","2.000","2.000","2.000","1.600","1.600","2.200","2.250","2.000","2.000","2.000","3.000","-","2.000"
"Selbach","4320305","-28.629400000000","-52.949800000000","1.200","2.100","2.000","2.000","1.400","600","1.617","2.019","1.000","1.677","1.941","2.345","2.025","3.375","1.969","2.769","2.643","3.151","4.227","3.379","3.543","3.543","1.833","2.840","2.840","3.383","3.426","3.395","3.100","3.100","1.400","1.600","1.600","2.000","2.000","-","3.000","2.000","-","-","-","-","-","-","-","-","-","-"
"Senador Salgado Filho","4320321","-28.025000000000","-54.550699999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3.000","3.000","3.000","3.000","3.000","3.000","3.000","1.600","-","-","5.000","3.000","3.000","3.000","3.000","3.000","-","-","-","-","-","-","-","-","-"
"Sentinela do Sul","4320354","-30.610700000000","-51.586199999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5.000","5.000","5.498","5.000","4.988","3.743","5.229","5.231","4.187","5.500","5.500","6.000","5.500","5.625","5.500","5.500","6.500","5.750","6.800","6.800","6.500","6.000","6.500","6.500","7.000","6.580","6.500","6.527","7.100"
"Serafina Corr�a","4320404","-28.712599999990","-51.935299999990","930","1.400","1.513","977","742","902","1.200","843","470","831","2.000","2.000","895","1.500","593","2.294","2.309","-","3.000","2.309","1.182","2.400","900","2.400","2.375","-","-","-","2.000","2.000","2.000","-","2.000","2.000","2.000","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S�rio","4320453","-29.390400000000","-52.268500000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.800","1.800","1.800","1.818","1.800","1.800","1.800","1.800","2.100","2.100","2.133","2.133","-","2.100","2.100","2.100","2.100","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","-","-","-"
"Sert�o","4320503","-27.979800000000","-52.258800000000","1.000","1.646","3.000","1.000","600","-","2.000","1.100","429","700","750","900","300","300","495","2.182","2.077","2.000","3.095","3.118","1.800","1.800","800","1.400","2.000","2.000","2.500","2.500","2.500","2.500","2.500","600","2.000","2.400","2.400","2.533","2.400","-","-","-","-","-","-","-","-","-","-","-"
"Sert�o Santana","4320552","-30.456199999990","-51.601700000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4.495","5.994","6.494","5.000","4.995","3.897","5.495","5.485","4.489","5.485","5.486","5.500","5.488","5.500","2.250","6.000","7.000","5.850","7.000","7.500","7.000","7.000","7.500","4.875","7.500","7.124","7.000","7.500","7.000"
"Sete de Setembro","4320578","-28.136199999990","-54.463700000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.333","4.400","4.767","4.600","3.600","2.600","2.000","1.000","1.000","2.000","2.000","2.000","2.000","2.000","2.000","-","-","-","-","-","-","-","-","-","-"
"Severiano de Almeida","4320602","-27.436199999990","-52.121699999990","927","1.492","1.900","1.800","308","200","1.000","737","540","1.196","1.196","1.196","1.071","598","1.360","1.500","1.500","-","1.500","1.500","1.500","1.500","1.512","1.488","1.800","1.200","1.500","1.800","900","1.800","733","250","1.500","1.800","1.800","1.600","2.000","2.000","-","-","-","-","-","-","-","-","-","-"
"Silveira Martins","4320651","-29.646699999990","-53.591000000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.800","2.000","600","2.000","2.000","2.000","2.000","2.818","1.000","1.300","1.600","1.200","2.000","2.000","3.000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sinimbu","4320677","-29.535699999990","-52.530500000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.520","1.500","920","240","1.240","1.240","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.375","2.000","2.000","2.000","2.000","2.000"
"Sobradinho","4320701","-29.419400000000","-53.032600000000","2.830","2.000","2.159","3.200","2.000","1.817","2.000","1.200","1.100","1.400","1.600","2.000","800","1.800","350","1.800","1.800","-","1.800","2.400","2.400","2.400","1.000","1.200","1.800","1.533","1.700","2.400","3.000","3.000","1.000","-","2.400","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Soledade","4320800","-28.830600000000","-52.513100000000","900","2.500","1.855","2.500","714","500","1.000","1.000","480","800","2.000","2.000","500","1.800","500","2.000","1.360","-","2.400","2.400","2.400","2.400","1.199","500","1.800","1.801","1.800","2.100","1.800","2.100","1.682","200","2.000","2.000","2.000","2.100","2.100","2.400","-","-","-","-","-","-","-","-","-","-"
"Tapejara","4320909","-28.065200000000","-52.009700000000","1.500","1.802","3.000","1.000","600","-","2.000","1.102","618","700","700","2.224","1.396","1.542","1.513","1.044","1.000","200","1.696","1.765","1.688","1.688","1.500","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","-","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","-","-","-","-","-","-","-"
